element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_code,first_name,second_name
700,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,42,1308,50914,6654,5346,616077,Max,Dowman
700,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,42,1308,50914,6654,5346,616077,Max,Dowman
711,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,44,16,1872,56,40,646243,Andre,Harriman-Annous
711,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,44,16,1872,56,40,646243,Andre,Harriman-Annous
725,252,5,7,False,2026-02-12T20:00:00Z,1,1,26,False,80,0,1,0,1,0,0,0,0,0,0,2,27,35.4,18.3,6.0,6.0,4,4,3,7,1,0.00,0.15,0.15,1.18,51,-10131,75833,6559,16690,448104,Piero,Hincapié
725,310,20,8,False,2026-02-18T20:00:00Z,2,2,26,False,90,1,0,0,2,0,0,0,0,0,0,1,29,61.0,38.4,21.0,12.0,8,2,1,9,1,0.31,0.17,0.48,0.29,51,-10131,75833,6559,16690,448104,Piero,Hincapié
759,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-1,2071,94,95,616065,Marli,Salmon
759,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-1,2071,94,95,616065,Marli,Salmon
32,251,6,8,True,2026-02-11T19:30:00Z,1,0,26,False,90,0,0,1,0,0,0,0,1,0,3,2,29,21.2,0.0,0.0,2.1,1,17,0,0,1,0.00,0.01,0.01,0.50,50,28186,478657,43679,15493,98980,Emiliano,Martínez Romero
33,251,6,0,True,2026-02-11T19:30:00Z,1,0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,42,-405,50080,239,644,72147,Marco,Bizot
34,251,6,0,True,2026-02-11T19:30:00Z,1,0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-86,11911,0,86,462492,Joe,Gauci
35,251,6,0,True,2026-02-11T19:30:00Z,1,0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-4,1092,0,4,462381,Filip,Marschall
36,251,6,0,True,2026-02-11T19:30:00Z,1,0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-8968,1495779,54570,63538,199796,Matty,Cash
37,251,6,0,True,2026-02-11T19:30:00Z,1,0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,944,201659,5986,5042,101188,Lucas,Digne
38,251,6,6,True,2026-02-11T19:30:00Z,1,0,26,False,90,0,0,1,0,0,0,0,0,0,0,0,25,7.0,1.1,11.0,1.9,4,4,0,4,1,0.15,0.02,0.17,0.50,44,-71,975941,20324,20395,199798,Ezri,Konsa Ngoyo
39,251,6,8,True,2026-02-11T19:30:00Z,1,0,26,False,90,0,0,1,0,0,0,0,0,0,0,0,24,24.6,29.7,12.0,6.6,9,3,2,11,1,0.02,0.08,0.10,0.50,42,894,72364,3357,2463,441302,Ian,Maatsen
40,251,6,12,True,2026-02-11T19:30:00Z,1,0,26,False,90,0,1,1,0,0,0,0,0,0,0,3,33,13.4,0.7,9.0,2.3,4,4,1,5,1,0.14,0.00,0.14,0.50,43,1098,73379,1658,560,149484,Tyrone,Mings
41,251,6,0,True,2026-02-11T19:30:00Z,1,0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,-235,41268,1383,1618,244954,Pau,Torres
42,251,6,0,True,2026-02-11T19:30:00Z,1,0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,39,-665,25862,41,706,606798,Andrés,García
43,251,6,0,True,2026-02-11T19:30:00Z,1,0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-1442,210005,0,1442,106468,Álex,Moreno Lopera
44,251,6,7,True,2026-02-11T19:30:00Z,1,0,26,False,90,0,0,1,0,0,0,0,0,0,0,1,28,17.0,2.3,2.0,2.1,5,3,2,7,1,0.00,0.01,0.01,0.50,40,566,69604,2016,1450,515597,Lamare,Bogarde
45,251,6,0,True,2026-02-11T19:30:00Z,1,0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,38,-1695,36967,39,1734,514315,Lino,da Cruz Sousa
46,251,6,0,True,2026-02-11T19:30:00Z,1,0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-58,14292,0,58,587178,Yasin,Özcan
47,251,6,2,True,2026-02-11T19:30:00Z,1,0,26,False,90,0,0,1,0,0,0,0,1,0,0,0,4,4.4,22.2,52.0,7.9,0,2,1,3,1,0.20,0.03,0.23,0.50,76,57051,3913088,173371,116320,244850,Morgan,Rogers
48,251,6,0,True,2026-02-11T19:30:00Z,1,0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,59,-8110,88702,54,8164,166989,Youri,Tielemans
49,251,6,1,True,2026-02-11T19:30:00Z,1,0,26,False,30,0,0,0,0,0,0,0,0,0,0,0,3,6.2,39.0,4.0,4.9,0,1,0,1,0,0.00,0.23,0.23,0.33,55,321,11538,652,331,215711,Leon,Bailey
50,251,6,1,True,2026-02-11T19:30:00Z,1,0,26,False,59,0,0,0,0,0,0,0,0,0,0,0,8,5.8,10.4,4.0,2.0,2,4,0,6,1,0.02,0.01,0.03,0.17,53,-2248,69059,7729,9977,195546,Emiliano,Buendía Stati
51,251,6,0,True,2026-02-11T19:30:00Z,1,0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-5,2455,0,5,469247,Samuel,Iling-Junior
53,251,6,0,True,2026-02-11T19:30:00Z,1,0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-2125,55555,0,2125,204646,Donyell,Malen
54,251,6,0,True,2026-02-11T19:30:00Z,1,0,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-7755,70973,58,7813,122806,John,McGinn
