team_code,team_name,gw,is_home,opponent_code,opponent_name,team_score,opponent_score,difficulty,finished
90,Burnley,17,False,91,Bournemouth,1,1,4,True
8,Chelsea,17,False,4,Newcastle,2,2,3,True
31,Crystal Palace,17,False,2,Leeds,1,4,3,True
11,Everton,17,True,3,Arsenal,0,1,4,True
54,Fulham,17,True,17,Nott'm Forest,1,0,3,True
2,Leeds,17,True,31,Crystal Palace,4,1,3,True
14,Liverpool,17,False,6,Spurs,2,1,3,True
43,Man City,17,True,21,West Ham,3,0,2,True
1,Man Utd,17,False,7,Aston Villa,1,2,4,True
4,Newcastle,17,True,8,Chelsea,2,2,3,True
17,Nott'm Forest,17,False,54,Fulham,0,1,3,True
6,Spurs,17,True,14,Liverpool,1,2,3,True
56,Sunderland,17,False,36,Brighton,0,0,4,True
21,West Ham,17,False,43,Man City,0,3,5,True
39,Wolves,17,True,94,Brentford,0,2,3,True
3,Arsenal,18,True,36,Brighton,2,1,3,True
7,Aston Villa,18,False,8,Chelsea,2,1,3,True
91,Bournemouth,18,False,94,Brentford,1,4,3,True
94,Brentford,18,True,91,Bournemouth,4,1,3,True
36,Brighton,18,False,3,Arsenal,1,2,5,True
90,Burnley,18,True,11,Everton,0,0,3,True
8,Chelsea,18,True,7,Aston Villa,1,2,3,True
31,Crystal Palace,18,True,6,Spurs,0,1,3,True
11,Everton,18,False,90,Burnley,0,0,2,True
54,Fulham,18,False,21,West Ham,1,0,3,True
2,Leeds,18,False,56,Sunderland,1,1,3,True
14,Liverpool,18,True,39,Wolves,2,1,1,True
43,Man City,18,False,17,Nott'm Forest,2,1,3,True
1,Man Utd,18,True,4,Newcastle,1,0,3,True
4,Newcastle,18,False,1,Man Utd,0,1,4,True
17,Nott'm Forest,18,True,43,Man City,1,2,4,True
6,Spurs,18,False,31,Crystal Palace,1,0,3,True
56,Sunderland,18,True,2,Leeds,1,1,2,True
21,West Ham,18,True,54,Fulham,0,1,3,True
39,Wolves,18,False,14,Liverpool,1,2,4,True
3,Arsenal,19,True,7,Aston Villa,4,1,3,True
7,Aston Villa,19,False,3,Arsenal,1,4,5,True
91,Bournemouth,19,False,8,Chelsea,2,2,3,True
94,Brentford,19,True,6,Spurs,0,0,3,True
36,Brighton,19,False,21,West Ham,2,2,3,True
90,Burnley,19,True,4,Newcastle,1,3,3,True
8,Chelsea,19,True,91,Bournemouth,2,2,3,True
31,Crystal Palace,19,True,54,Fulham,1,1,3,True
11,Everton,19,False,17,Nott'm Forest,2,0,3,True
54,Fulham,19,False,31,Crystal Palace,1,1,3,True
2,Leeds,19,False,14,Liverpool,0,0,4,True
14,Liverpool,19,True,2,Leeds,0,0,2,True
43,Man City,19,False,56,Sunderland,0,0,3,True
1,Man Utd,19,True,39,Wolves,1,1,1,True
4,Newcastle,19,False,90,Burnley,3,1,2,True
17,Nott'm Forest,19,True,11,Everton,0,2,3,True
6,Spurs,19,False,94,Brentford,0,0,3,True
56,Sunderland,19,True,43,Man City,0,0,4,True
21,West Ham,19,True,36,Brighton,2,2,3,True
39,Wolves,19,False,1,Man Utd,1,1,4,True
3,Arsenal,20,False,91,Bournemouth,3,2,4,True
7,Aston Villa,20,True,17,Nott'm Forest,3,1,3,True
91,Bournemouth,20,True,3,Arsenal,2,3,4,True
94,Brentford,20,False,11,Everton,4,2,3,True
36,Brighton,20,True,90,Burnley,2,0,1,True
90,Burnley,20,False,36,Brighton,0,2,4,True
8,Chelsea,20,False,43,Man City,1,1,5,True
31,Crystal Palace,20,False,4,Newcastle,0,2,3,True
11,Everton,20,True,94,Brentford,2,4,3,True
54,Fulham,20,True,14,Liverpool,2,2,3,True
2,Leeds,20,True,1,Man Utd,1,1,3,True
14,Liverpool,20,False,54,Fulham,2,2,3,True
43,Man City,20,True,8,Chelsea,1,1,3,True
1,Man Utd,20,False,2,Leeds,1,1,3,True
4,Newcastle,20,True,31,Crystal Palace,2,0,3,True
17,Nott'm Forest,20,False,7,Aston Villa,1,3,4,True
6,Spurs,20,True,56,Sunderland,1,1,2,True
56,Sunderland,20,False,6,Spurs,1,1,3,True
21,West Ham,20,False,39,Wolves,0,3,2,True
39,Wolves,20,True,21,West Ham,3,0,2,True
3,Arsenal,21,True,14,Liverpool,0,0,3,True
7,Aston Villa,21,False,31,Crystal Palace,0,0,3,True
91,Bournemouth,21,True,6,Spurs,3,2,3,True
94,Brentford,21,True,56,Sunderland,3,0,2,True
36,Brighton,21,False,43,Man City,1,1,5,True
90,Burnley,21,True,1,Man Utd,2,2,3,True
8,Chelsea,21,False,54,Fulham,1,2,3,True
31,Crystal Palace,21,True,7,Aston Villa,0,0,3,True
11,Everton,21,True,39,Wolves,1,1,1,True
54,Fulham,21,True,8,Chelsea,2,1,3,True
2,Leeds,21,False,4,Newcastle,3,4,3,True
14,Liverpool,21,False,3,Arsenal,0,0,5,True
43,Man City,21,True,36,Brighton,1,1,3,True
1,Man Utd,21,False,90,Burnley,2,2,2,True
4,Newcastle,21,True,2,Leeds,4,3,2,True
17,Nott'm Forest,21,False,21,West Ham,2,1,3,True
6,Spurs,21,False,91,Bournemouth,2,3,4,True
56,Sunderland,21,False,94,Brentford,0,3,3,True
21,West Ham,21,True,17,Nott'm Forest,1,2,3,True
39,Wolves,21,False,11,Everton,1,1,3,True
3,Arsenal,22,False,17,Nott'm Forest,0,0,3,True
7,Aston Villa,22,True,11,Everton,0,1,3,True
91,Bournemouth,22,False,36,Brighton,1,1,4,True
94,Brentford,22,False,8,Chelsea,0,2,3,True
36,Brighton,22,True,91,Bournemouth,1,1,3,True
90,Burnley,22,False,14,Liverpool,1,1,4,True
8,Chelsea,22,True,94,Brentford,2,0,3,True
31,Crystal Palace,22,False,56,Sunderland,1,2,3,True
11,Everton,22,False,7,Aston Villa,1,0,4,True
54,Fulham,22,False,2,Leeds,0,1,3,True
2,Leeds,22,True,54,Fulham,1,0,3,True
14,Liverpool,22,True,90,Burnley,1,1,1,True
43,Man City,22,False,1,Man Utd,0,2,4,True
1,Man Utd,22,True,43,Man City,2,0,4,True
4,Newcastle,22,False,39,Wolves,0,0,2,True
17,Nott'm Forest,22,True,3,Arsenal,0,0,4,True
6,Spurs,22,True,21,West Ham,1,2,2,True
56,Sunderland,22,True,31,Crystal Palace,2,1,3,True
21,West Ham,22,False,6,Spurs,2,1,3,True
39,Wolves,22,True,4,Newcastle,0,0,3,True
3,Arsenal,23,True,1,Man Utd,2,3,3,True
7,Aston Villa,23,False,4,Newcastle,2,0,3,True
91,Bournemouth,23,True,14,Liverpool,3,2,3,True
94,Brentford,23,True,17,Nott'm Forest,0,2,3,True
36,Brighton,23,False,54,Fulham,1,2,3,True
90,Burnley,23,True,6,Spurs,2,2,3,True
8,Chelsea,23,False,31,Crystal Palace,3,1,3,True
31,Crystal Palace,23,True,8,Chelsea,1,3,3,True
11,Everton,23,True,2,Leeds,1,1,2,True
54,Fulham,23,True,36,Brighton,2,1,3,True
2,Leeds,23,False,11,Everton,1,1,3,True
14,Liverpool,23,False,91,Bournemouth,2,3,4,True
43,Man City,23,True,39,Wolves,2,0,1,True
1,Man Utd,23,False,3,Arsenal,3,2,5,True
4,Newcastle,23,True,7,Aston Villa,0,2,3,True
17,Nott'm Forest,23,False,94,Brentford,2,0,3,True
6,Spurs,23,False,90,Burnley,2,2,2,True
56,Sunderland,23,False,21,West Ham,1,3,3,True
21,West Ham,23,True,56,Sunderland,3,1,2,True
39,Wolves,23,False,43,Man City,0,2,5,True
3,Arsenal,24,False,2,Leeds,4,0,3,True
7,Aston Villa,24,True,94,Brentford,0,1,3,True
91,Bournemouth,24,False,39,Wolves,2,0,2,True
94,Brentford,24,False,7,Aston Villa,1,0,4,True
36,Brighton,24,True,11,Everton,1,1,3,True
90,Burnley,24,False,56,Sunderland,0,3,3,True
8,Chelsea,24,True,21,West Ham,3,2,2,True
31,Crystal Palace,24,False,17,Nott'm Forest,1,1,3,True
11,Everton,24,False,36,Brighton,1,1,4,True
54,Fulham,24,False,1,Man Utd,2,3,4,True
2,Leeds,24,True,3,Arsenal,0,4,4,True
14,Liverpool,24,True,4,Newcastle,4,1,3,True
43,Man City,24,False,6,Spurs,2,2,3,True
1,Man Utd,24,True,54,Fulham,3,2,3,True
4,Newcastle,24,False,14,Liverpool,1,4,4,True
17,Nott'm Forest,24,True,31,Crystal Palace,1,1,3,True
6,Spurs,24,True,43,Man City,2,2,4,True
56,Sunderland,24,True,90,Burnley,3,0,1,True
21,West Ham,24,False,8,Chelsea,2,3,3,True
39,Wolves,24,True,91,Bournemouth,0,2,3,True
3,Arsenal,25,True,56,Sunderland,3,0,2,True
7,Aston Villa,25,False,91,Bournemouth,1,1,4,True
91,Bournemouth,25,True,7,Aston Villa,1,1,3,True
94,Brentford,25,False,4,Newcastle,3,2,3,True
36,Brighton,25,True,31,Crystal Palace,0,1,3,True
90,Burnley,25,True,21,West Ham,0,2,2,True
8,Chelsea,25,False,39,Wolves,3,1,2,True
31,Crystal Palace,25,False,36,Brighton,1,0,4,True
11,Everton,25,False,54,Fulham,2,1,3,True
54,Fulham,25,True,11,Everton,1,2,3,True
2,Leeds,25,True,17,Nott'm Forest,3,1,3,True
14,Liverpool,25,True,43,Man City,1,2,4,True
43,Man City,25,False,14,Liverpool,2,1,4,True
1,Man Utd,25,True,6,Spurs,2,0,3,True
4,Newcastle,25,True,94,Brentford,2,3,3,True
17,Nott'm Forest,25,False,2,Leeds,1,3,3,True
6,Spurs,25,False,1,Man Utd,0,2,4,True
56,Sunderland,25,False,3,Arsenal,0,3,5,True
21,West Ham,25,False,90,Burnley,2,0,2,True
39,Wolves,25,True,8,Chelsea,1,3,3,True
